time,wind_speed_100m,temperature_2m,surface_pressure
2026-04-30 13:30:00,8.889059353177084,-41.046314817451815,681.7641015625
2026-04-30 13:45:00,8.76847646325747,-41.070874101426504,681.8130053710937
2026-04-30 14:00:00,8.717659631974419,-41.091696166992165,681.835234375
2026-04-30 14:15:00,8.749897616000762,-41.11000053236251,681.8213506124106
2026-04-30 14:30:00,8.820821180858722,-41.12902087590752,681.7900274143449
2026-04-30 14:45:00,8.89174474571668,-41.1439548232468,681.7567569153567
2026-04-30 15:00:00,8.923982729743024,-41.14999999999998,681.73703125
2026-04-30 15:15:00,8.878558701151455,-41.14974816309424,681.7297567565182
2026-04-30 15:30:00,8.774205798710119,-41.14900545721617,681.7238788356551
2026-04-30 15:45:00,8.658802797419073,-41.14779108962455,681.7199482157143
2026-04-30 16:00:00,8.580228472278375,-41.1461242675781,681.718515625
2026-04-30 16:15:00,8.536771335550492,-41.130749568217674,681.7320970948728
2026-04-30 16:30:00,8.498626148767645,-41.095114946932156,681.7628188154939
2026-04-30 16:45:00,8.471531060834506,-41.04929467835244,681.7956467533683
2026-04-30 17:00:00,8.461224220655755,-41.00336303710935,681.815546875
2026-04-30 17:15:00,8.477219188184183,-40.95319930317238,681.8219184495296
2026-04-30 17:30:00,8.515383449355092,-40.894583155819014,681.8258120901504
2026-04-30 17:45:00,8.560986042046924,-40.837439468642046,681.8296707794458
2026-04-30 18:00:00,8.599296004138116,-40.79169311523435,681.8359375
2026-04-30 18:15:00,8.626537622367588,-40.75344145096926,681.8488807498351
2026-04-30 18:30:00,8.650901832278638,-40.71704900350913,681.8695375608487
2026-04-30 18:45:00,8.675607644956264,-40.68984140488036,681.895503716438
2026-04-30 19:00:00,8.703874071485473,-40.67914428710935,681.924375
2026-04-30 19:15:00,8.735138638969888,-40.69462794979904,681.9682221247914
2026-04-30 19:30:00,8.768937686218718,-40.73046925122196,682.0265829115962
2026-04-30 19:45:00,8.808638441875352,-40.7707536614089,682.0782538051028
2026-04-30 20:00:00,8.85760813458317,-40.7995666503906,682.10203125
2026-04-30 20:15:00,8.947766569487547,-40.817443379148926,682.1039557785172
2026-04-30 20:30:00,9.074970584261605,-40.83366801684439,682.1048757176407
2026-04-30 20:45:00,9.188492956340358,-40.845449545775864,682.1057992041937
2026-04-30 21:00:00,9.237606463158828,-40.849996948242165,682.107734375
