time,wind_speed_100m,temperature_2m,surface_pressure,physics_mw,hour,month,wind_speed_roll3,wind_speed_roll6,wind_acceleration,final_forecast_mw_q10,final_forecast_mw_q50,final_forecast_mw_q90,final_forecast_mw
2026-04-30 02:30:00,10.97652323946543,-40.74270359240851,680.5169470844072,2.9348551407144416,2,4,10.949694043560191,10.979895777895926,0.03279123943973872,2.7181335165784706,2.7876014336631645,2.8646697401688446,2.7876014336631645
2026-04-30 02:45:00,11.009314478905171,-40.7623690196099,680.5413359777707,2.944244272359705,2,4,10.97652323946543,10.969039390127321,0.032791239439740494,2.727522648223734,2.7969905653084277,2.874058871814108,2.7969905653084277
2026-04-30 03:00:00,11.024219587741417,-40.77802124023435,680.563046875,2.945947330095334,3,4,11.003352435370672,10.972230772225231,0.014905108836245518,2.729225705959363,2.7975624460955095,2.875761929549737,2.7975624460955095
2026-04-30 03:15:00,10.996714902238226,-40.78884321455501,680.5797073314241,2.942015104333675,3,4,11.010082989628273,10.979888516594231,-0.02750468550319063,2.725293480197704,2.794761397282398,2.871829703788078,2.794761397282398
2026-04-30 03:30:00,10.93620459413121,-40.79697414108081,680.595307729695,2.9205581490789267,3,4,10.98571302803695,10.98111813375119,-0.060510308107016186,2.7038365249429557,2.7733044420276496,2.8513699789439055,2.7733044420276496
2026-04-30 03:45:00,10.875694286024194,-40.80538279809158,680.6122191068685,2.8991011938241797,3,4,10.936204594131212,10.969778514750942,-0.060510308107016186,2.6823795696882087,2.7560609689143973,2.8299130236891585,2.7560609689143973
2026-04-30 04:00:00,10.848189600521003,-40.817037963867165,680.6328125,2.889348032344748,4,4,10.886696160225469,10.948389574926871,-0.02750468550319063,2.6726264082087767,2.7463078074349654,2.8201598622097266,2.7463078074349654
2026-04-30 04:15:00,10.85217159537376,-40.83619010367281,680.6660952757452,2.890760047719535,4,4,10.858685160639652,10.922199094338302,0.003981994852756188,2.674038423583564,2.747719822809753,2.821571877584514,2.747719822809753
2026-04-30 04:30:00,10.861749399440946,-40.86269496455204,680.7099238531085,2.894156337041759,4,4,10.854036865111903,10.895120729621558,0.009577804067186335,2.677434712905788,2.7511161121319767,2.824968166906738,2.7511161121319767
2026-04-30 04:45:00,10.873370741985942,-40.89292924745212,680.7499428476675,2.898277265108215,4,4,10.86243057893355,10.87456336957951,0.011621342544996693,2.681555640972244,2.7552370401984327,2.829089094973194,2.7552370401984327
2026-04-30 05:00:00,10.883483352272126,-40.92326965332029,680.771796875,2.901863196715696,5,4,10.872867831233004,10.865776495936329,0.01011261028618371,2.6851415725797247,2.7588229718059134,2.8326750265806746,2.7588229718059134
2026-04-30 05:15:00,10.892839986961514,-40.95588158949578,680.7775411963405,2.905181059376553,5,4,10.883231360406526,10.868634112759215,0.009356634689387633,2.6884594352405817,2.7621408344667704,2.8359928892415316,2.7621408344667704
2026-04-30 05:30:00,10.902798183193562,-40.99184598028109,680.7806325559128,2.9087122357604374,5,4,10.893040507475733,10.877735543204642,0.009958196232048522,2.6919906116244663,2.765672010850655,2.839524065625416,2.765672010850655
