time,actual_mw,physics_mw,final_forecast_mw
2024-02-09 13:30:00+00:00,0.9590798502230647,1.0613683680000001,0.9865281725229913
2024-02-09 14:30:00+00:00,0.5465789216177634,0.599568754,0.5569829712932625
2024-02-09 15:30:00+00:00,0.2647447659555248,0.28134064300000006,0.2592467732542687
2024-02-09 16:30:00+00:00,0.374077735622619,0.38331761979999995,0.3578095084572122
2024-02-09 17:30:00+00:00,0.1243041716206015,0.13378820480000006,0.12473058798502909
2024-02-09 18:30:00+00:00,1.3565378130369774,1.4046141299999997,1.3341850954688832
2024-02-09 19:30:00+00:00,2.9290349518862824,3.001836596,2.865345088708206
2024-02-09 20:30:00+00:00,2.862926353703903,3.075,2.946435359120369
2024-02-09 21:30:00+00:00,3.00304047182696,3.073399992,2.9298628729690477
2024-02-09 22:30:00+00:00,2.930917469853118,3.074074344,2.9215355527011337
2024-02-09 23:30:00+00:00,2.790007467661908,3.0510143280000004,2.8954302608937534
2024-02-10 00:30:00+00:00,2.9622879162425995,3.075,2.9152038514614107
2024-02-10 01:30:00+00:00,2.986788771867756,3.075,2.9171245217323305
2024-02-10 02:30:00+00:00,2.890052754378171,3.075,2.91551413834095
2024-02-10 03:30:00+00:00,1.408520209956293,1.4929317020000001,1.4162824757517358
2024-02-10 04:30:00+00:00,0.0,0.0,0.003926931414753199
2024-02-10 05:30:00+00:00,0.0,0.0,0.002989459317177534
2024-02-10 06:30:00+00:00,0.0,0.0,6.400219717761502e-06
2024-02-10 07:30:00+00:00,0.36332223246287426,0.3974048176,0.3751260952243687
2024-02-10 08:30:00+00:00,2.624486270561359,2.791384656,2.626632008719307
2024-02-10 09:30:00+00:00,2.8255288648454164,3.075,2.848405119776726
2024-02-10 10:30:00+00:00,2.808021445301495,3.075,2.8368262469768526
2024-02-10 11:30:00+00:00,2.7701409735979725,3.075,2.8334025263786318
2024-02-10 12:30:00+00:00,2.441931274742041,2.6490431439999993,2.4369411182527
2024-02-10 13:30:00+00:00,0.7743390898318014,0.8650711679999998,0.7977294231002501
2024-02-10 14:30:00+00:00,0.08785130170193192,0.09359689839999999,0.08794755619834985
2024-02-10 15:30:00+00:00,0.5475156255046382,0.599568754,0.5553826908891716
2024-02-10 16:30:00+00:00,2.4317888520424784,2.5462651000000003,2.392645274160004
2024-02-10 17:30:00+00:00,1.855873912200138,1.8975448000000001,1.7949764492676736
2024-02-10 18:30:00+00:00,1.3546540170330486,1.4445713799999997,1.3728785183833883
2024-02-10 19:30:00+00:00,2.7394971147631315,3.075,2.9169573158025743
2024-02-10 20:30:00+00:00,2.9015433865043545,3.075,2.921433848142624
2024-02-10 21:30:00+00:00,2.934112621530474,3.075,2.915279147028923
2024-02-10 22:30:00+00:00,2.8448618628599545,3.075,2.9262957841157915
2024-02-10 23:30:00+00:00,2.9485958766885276,3.075,2.92297677397728
2024-02-11 00:30:00+00:00,3.02978780748207,3.075,2.9262832671403887
2024-02-11 01:30:00+00:00,2.863275352949123,3.075,2.9259376347064974
2024-02-11 02:30:00+00:00,2.8256366675372235,3.075,2.921494346857071
2024-02-11 03:30:00+00:00,2.913323440635876,3.075,2.9121779024600984
2024-02-11 04:30:00+00:00,2.90051589538975,3.073399992,2.9015002113689348
