time,actual_mw,physics_mw,final_forecast_mw
2024-11-27 03:15:00+00:00,2.3163983364329503,2.3439087160654446,2.2287269496150395
2024-11-27 03:30:00+00:00,1.6883581437334698,1.7591067167468901,1.6742721932478781
2024-11-27 03:45:00+00:00,1.2047765072406567,1.2515762338978114,1.1905374827426733
2024-11-27 04:00:00+00:00,0.7950416244375479,0.8407568569994072,0.7987272936618427
2024-11-27 04:15:00+00:00,0.552181257775317,0.5759691599002529,0.5447441808125425
2024-11-27 04:30:00+00:00,0.42798225729319983,0.4519542909607123,0.42903553763477315
2024-11-27 04:45:00+00:00,0.3932322530977103,0.40770533868813813,0.3873754050745994
2024-11-27 05:00:00+00:00,0.36034177014736934,0.37823434720316423,0.3588291088728
2024-11-27 05:15:00+00:00,0.33453525101831044,0.35927729691300403,0.3411903792146207
2024-11-27 05:30:00+00:00,0.31646057104815545,0.3525074674808385,0.3343996769809129
2024-11-27 05:45:00+00:00,0.39490491024867036,0.4183639100909735,0.39814684532289757
2024-11-27 06:00:00+00:00,0.5761548399802929,0.6020679514272449,0.5691060650511024
2024-11-27 06:15:00+00:00,0.768090023284215,0.8169555600833959,0.7775827396762437
2024-11-27 06:30:00+00:00,0.9010478035253746,0.9266776216459858,0.8839848486018764
2024-11-27 06:45:00+00:00,0.8232413823080993,0.8648751513825222,0.8243288868830964
2024-11-27 07:00:00+00:00,0.68002630076,0.7273494892900115,0.688213552642358
2024-11-27 07:15:00+00:00,0.5518803354373399,0.5887512342694476,0.5540193097356036
2024-11-27 07:30:00+00:00,0.45086921322934764,0.4841927828083681,0.4564886407743143
2024-11-27 07:45:00+00:00,0.3894532561407621,0.4160860010351022,0.39114814409268694
2024-11-27 08:00:00+00:00,0.3202547739872977,0.3585019234274637,0.33346890394437423
2024-11-27 08:15:00+00:00,0.28115501971917933,0.31610307739448595,0.2931588505334859
2024-11-27 08:30:00+00:00,0.2707267239750178,0.2992860416451673,0.27634542459046646
2024-11-27 08:45:00+00:00,0.28335989713095866,0.309925780611971,0.28698516355727016
2024-11-27 09:00:00+00:00,0.31406171315442144,0.33878394079404023,0.3145133466740146
2024-11-27 09:15:00+00:00,0.36331936365926476,0.38126893711386156,0.3521601259439988
2024-11-27 09:30:00+00:00,0.4214849188084053,0.43792800550987215,0.40201465731193514
2024-11-27 09:45:00+00:00,0.5191221631861069,0.5674336224261944,0.5231225832764332
2024-11-27 10:00:00+00:00,0.739889804930686,0.810093860410106,0.7369127676710008
2024-11-27 10:15:00+00:00,1.0190525546798033,1.1404917118901103,1.0335787860506862
2024-11-27 10:30:00+00:00,1.3279599741414785,1.486629918350847,1.35510830594507
2024-11-27 10:45:00+00:00,1.6841996986379426,1.8469225404007892,1.6858967331393222
2024-11-27 11:00:00+00:00,2.1210197322370465,2.2486288304601465,2.052602073100642
2024-11-27 11:15:00+00:00,2.3821564661172236,2.5456819377960684,2.318682789069605
2024-11-27 11:30:00+00:00,2.390620642997766,2.6411329294759365,2.4046601291019054
2024-11-27 11:45:00+00:00,2.0114629767089762,2.2151247781403205,2.019259221542611
2024-11-27 12:00:00+00:00,1.1354823295390508,1.246309103328277,1.1317917796555055
2024-11-27 12:15:00+00:00,0.5180275587327511,0.5756547792520107,0.5271584919359268
2024-11-27 12:30:00+00:00,0.33329162630522424,0.36370609129179227,0.33361605355847584
2024-11-27 12:45:00+00:00,0.4720852632223582,0.5307322786136089,0.4862352729721485
2024-11-27 13:00:00+00:00,1.0428758008443662,1.15157208195036,1.0415650790006454
2024-11-27 13:15:00+00:00,2.0864008066099706,2.334547400999963,2.124196470309198
2024-11-27 13:30:00+00:00,2.730734457694033,3.008588306371423,2.734437606994363
2024-11-27 13:45:00+00:00,2.6831398165812477,3.028875,2.762836582183838
2024-11-27 14:00:00+00:00,2.787961791389737,3.028875,2.7740412421226504
2024-11-27 14:15:00+00:00,2.851085756682941,3.028875,2.774318880558014
2024-11-27 14:30:00+00:00,2.7381570818073,3.028875,2.7748203344345095
2024-11-27 14:45:00+00:00,2.701275944991914,3.028875,2.7742380566596987
2024-11-27 15:00:00+00:00,2.812553932230347,3.028875,2.792403570532799
2024-11-27 15:15:00+00:00,2.766731264399749,3.028875,2.7926439858675005
2024-11-27 15:30:00+00:00,2.8295337220732604,3.028875,2.7927575327157976
2024-11-27 15:45:00+00:00,2.830430752610534,3.028875,2.792761108994484
2024-11-27 16:00:00+00:00,0.0,0.0,0.0
2024-11-27 16:15:00+00:00,0.0,0.0,0.0
2024-11-27 16:30:00+00:00,0.0,0.0,0.0
2024-11-27 16:45:00+00:00,0.0,0.0,0.0
2024-11-27 17:00:00+00:00,0.0,0.0,0.0
2024-11-27 17:15:00+00:00,0.0,0.0,0.0
2024-11-27 17:30:00+00:00,0.0,0.0,0.0
2024-11-27 17:45:00+00:00,0.0,0.0,0.0
2024-11-27 18:00:00+00:00,0.0,0.0,0.0
2024-11-27 18:15:00+00:00,0.0,0.0,0.0
2024-11-27 18:30:00+00:00,0.0,0.0,0.0
2024-11-27 18:45:00+00:00,0.0,0.0,0.0
2024-11-27 19:00:00+00:00,2.926184829596424,3.028875,2.8779637433290484
2024-11-27 19:15:00+00:00,2.9426193158968648,3.028875,2.877480886101723
2024-11-27 19:30:00+00:00,2.831977290378943,3.028875,2.880576155304909
2024-11-27 19:45:00+00:00,2.877179120670865,3.028875,2.876500777125359
2024-11-27 20:00:00+00:00,2.906170080389751,3.028188053507461,2.8758138306328194
2024-11-27 20:15:00+00:00,2.888557597400104,3.027071156889801,2.8746969340151596
2024-11-27 20:30:00+00:00,2.8048017245846415,3.0259963225655255,2.873622099690884
2024-11-27 20:45:00+00:00,2.8551837276624292,3.0285924623301064,2.8760534028103386
2024-11-27 21:00:00+00:00,2.8958090654577866,3.028875,2.878091029047966
2024-11-27 21:15:00+00:00,2.7974562274953136,3.028875,2.876942566752434
2024-11-27 21:30:00+00:00,2.9364513746525778,3.028875,2.877147874951363
